sample_id,pcap_file,traffic_class,mode,ike_version,ike_proposal,esp_proposal,cipher,integrity,dh_group,pfs,ip_version,nat_t,nat_t_forced,actual_nat_present,peer_auth,capture_duration_s,outer_left,outer_right,traffic_generator,sha256
web_p01,web_p01.pcap,web,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,35,172.30.0.2,172.30.0.3,multiple-http-object-requests,fd2d3e3f9b8e17cd4bb895ab9a991037b375d2be3e3ea252533f22ae809d9a0f
web_p02,web_p02.pcap,web,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,35,172.30.0.2,172.30.0.3,multiple-http-object-requests,22f65db528435e5d455e65a767a5aea61ee1a3611616b7e912bedc4fbee54726
web_p03,web_p03.pcap,web,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,35,172.30.0.2,172.30.0.3,multiple-http-object-requests,5addcc676532131d43b38afb22066e293c9d2a123689171fe794a54d7be1b68a
web_p04,web_p04.pcap,web,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,35,172.30.0.2,172.30.0.3,multiple-http-object-requests,f3d92c90576b47bf1acd548828d0a93f61120742f83e27acbe415caf35fc2474
web_p05,web_p05.pcap,web,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,35,fd00:30::2,fd00:30::3,multiple-http-object-requests,abc56da8961e7f2675d6d97082037b62c2fc20e602e85873ef83f02123ff9953
video_p01,video_p01.pcap,video,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,60,172.30.0.2,172.30.0.3,hls-segment-streaming,917dbe2855d9b3688c55032e94cc41287630c6df580057a873d62790de402fc2
video_p02,video_p02.pcap,video,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,60,172.30.0.2,172.30.0.3,hls-segment-streaming,4917ad0a54d85b4997026955e892bd7ed4bff280cfcbce22a4a197eb0e32fa0b
video_p03,video_p03.pcap,video,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,60,172.30.0.2,172.30.0.3,hls-segment-streaming,569437fbddcd008fc4d4c8a1cbb359f644ee03c434e3f124bc0eab452d2ed982
video_p04,video_p04.pcap,video,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,60,172.30.0.2,172.30.0.3,hls-segment-streaming,5e3af791d86d318cfe02dfbaa0dd8873a63a027a02ee26df3c0647147ac64a73
video_p05,video_p05.pcap,video,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,60,fd00:30::2,fd00:30::3,hls-segment-streaming,ba24e94002caa05c1eddaf01d6ee6ca6ca0dc9e1d54c12454e062e1141542526
